HD 39778                       2460690.70965366     46.4148    0.0194 
HD 50264                       2460690.64706763     71.4573    0.0250 
HD 33709                       2460690.70111666     26.5726    0.0134 
CD-42 2048                     2460690.70283061     42.1597    0.0142 
HD 269246                      2460690.69450056     86.0971    0.0976 
V LO CMa                       2460690.71462801     15.0201    0.0132 
HD 82221                       2460690.71943282     -8.1603    0.0775 
V EN Mon                       2460690.65292145     58.4442    0.1160 
HD 39778                       2460690.70607280     46.8228    0.0204 
CD-55 1483                     2460690.65705896     -4.3815    0.0075 
TYC 8231-457-1                 2460815.53349544    -28.1734    0.0431 
HD 102762                      2460815.52562234    -22.1915    0.0154 
HD 168791                      2460815.66798418    -39.4495    0.0141 
CD-43 7101                     2460815.51814780     -6.5627    0.0212 
TYC 8743-1970-1                2460815.64857281    -15.8247    0.0557 
TYC 499-198-1                  2460815.74484332     52.9317    0.0121 
HD72673                        2460815.49560815     19.3702    0.0075 
HD 184001                      2460815.70470394    -43.1371    0.0357 
BD-07 3076                     2460815.51379454     -6.4710    0.0334 
TYC 9260-600-1                 2460815.60890038    -54.1919    0.0479 
BD-10 4311                     2460815.62281421     46.5332    0.0576 
HD 170149                      2460815.64556335    -37.9199    0.0522 
HD 196445                      2460815.77214967    -28.1507    0.0243 
BD+01 2916                     2460815.57882177    -11.0997    0.0631 
HD 146800                      2460815.61926502      1.9783    0.0370 
HD 88035                       2460815.50216009     -0.8612    0.0193 
HD 150862                      2460815.62536259    -87.6494    0.0477 
CD-62 1346                     2460815.77467448    124.2679    0.1029 
BD+00 4080                     2460815.67895064    -11.7723    0.2280 
HD72673                        2460815.48560820     14.8923    0.0079 
V V490 Sct                     2460815.63906472     40.7339    0.7296 
HD 107264                      2460815.53124824    -18.5567    0.0186 
TYC 6624-597-1                 2460815.50967379      3.4881    0.0338 
BD-13 3743                     2460815.55633369    -19.6469    0.0373 
BD+09 4483                     2460815.75492061     51.1664    0.0442 
HD 193530                      2460815.77013342     -2.4806    0.0259 
